NUTS_ID,cloud_mean,cloud_m01,cloud_m02,cloud_m03,cloud_m04,cloud_m05,cloud_m06,cloud_m07,cloud_m08,cloud_m09,cloud_m10,cloud_m11,cloud_m12
BG,0.5843440979305241,0.7010388871033987,0.6816638906796774,0.6775638875034121,0.6453250033987893,0.6614958327263594,0.47560833394527435,0.32382916783293086,0.41584375128149986,0.5209166686981916,0.49322499831517536,0.6929291697839896,0.7226895838975906
BG3,0.583442882130233,0.7045208315054575,0.6943499992291132,0.6768416638175646,0.6374708339571953,0.6337531255558133,0.4664906272664666,0.3363687521778047,0.4064906258136034,0.5164156258106232,0.4874124974012375,0.7005437519401312,0.7406562510877848
BG31,0.5912496539660625,0.6977999905745188,0.6797833343346914,0.6638000011444092,0.6199500064055125,0.6500000059604645,0.48188750445842743,0.35241249576210976,0.44581250101327896,0.5417374968528748,0.48686250299215317,0.7379000037908554,0.7370500043034554
BG312,0.5937354176615676,0.7059333125750223,0.6832000017166138,0.6653666694959005,0.6096000075340271,0.671350009739399,0.48330000415444374,0.3396749943494797,0.44647499918937683,0.5454249978065491,0.49045000970363617,0.7472500056028366,0.7368000000715256
BG314,0.5887638902705578,0.6896666685740153,0.6763666669527689,0.6622333327929179,0.6303000052769979,0.62865000218153,0.4804750047624111,0.36514999717473984,0.4451500028371811,0.5380499958992004,0.48327499628067017,0.7285500019788742,0.7373000085353851
BG32,0.5903930556443003,0.6961333254973093,0.6902499993642172,0.6795833309491476,0.6496500074863434,0.6354750022292137,0.49227500334382057,0.36611250415444374,0.4188000038266182,0.5262250043451786,0.4853999949991703,0.7018749937415123,0.7429374977946281
BG321,0.5926048614912562,0.7052333156267802,0.6713333527247111,0.6808000008265177,0.6519666711489359,0.6329000070691109,0.4980749934911728,0.3715500012040138,0.4340500086545944,0.5289750024676323,0.4763749912381172,0.7192999869585037,0.7407000064849854
BG324,0.5881812497973442,0.6870333353678385,0.7091666460037231,0.6783666610717773,0.6473333438237509,0.6380499973893166,0.48647501319646835,0.36067500710487366,0.40354999899864197,0.5234750062227249,0.4944249987602234,0.6844500005245209,0.7451749891042709
BG33,0.5705392347752221,0.7168833414713541,0.7449833353360494,0.6843166649341583,0.6245999832948049,0.5874874927103519,0.41261250525712967,0.30808749981224537,0.33732499554753304,0.4762125015258789,0.4873874932527542,0.6918625012040138,0.7747125029563904
BG331,0.5733527770886818,0.7045666774113973,0.7224666674931844,0.6709333260854086,0.6100666522979736,0.6028750017285347,0.46175000071525574,0.3447749987244606,0.37139999121427536,0.47987500578165054,0.47954999655485153,0.6755000054836273,0.7564750015735626
BG332,0.5677256924617621,0.729200005531311,0.7675000031789144,0.6977000037829081,0.6391333142916361,0.5720999836921692,0.3634750097990036,0.27140000090003014,0.3032499998807907,0.47254999727010727,0.4952249899506569,0.7082249969244003,0.7929500043392181
BG34,0.5815895841353469,0.7072666684786478,0.6623833278814951,0.6796666582425436,0.6556833386421204,0.6620500013232231,0.4791874960064888,0.31886250898241997,0.4240250028669834,0.5214875005185604,0.48999999836087227,0.6705375090241432,0.7079249992966652
BG343,0.5729319453239441,0.7233999967575073,0.6758999824523926,0.6643666625022888,0.6407666802406311,0.6375750005245209,0.46114999800920486,0.30755001306533813,0.3956499993801117,0.5007499977946281,0.4790000021457672,0.6714750081300735,0.7176000028848648
